year,data,Id,subject,scale,grade
1,3,2008191,English,GCSE,D
1,3,2008192,English,GCSE,D
1,3,2008197,English,GCSE,D
1,3,2008206,English,GCSE,D
1,3,2008207,English,GCSE,D
1,3,2008219,English,GCSE,D
1,3,2008224,English,GCSE,D
1,3,2008225,English,GCSE,D
1,3,2008228,English,GCSE,D
1,3,2008002,English,GCSE,E
1,3,2008052,English,GCSE,E
1,3,2008057,English,GCSE,E
1,3,2008077,English,GCSE,E
1,3,2008134,English,GCSE,E
1,3,2008198,English,GCSE,E
1,3,3691,English,GCSE,F
1,3,2008015,English Literature,GCSE,A
1,3,2008020,English Literature,GCSE,A
1,3,2008028,English Literature,GCSE,A
1,3,2008029,English Literature,GCSE,A
1,3,2008034,English Literature,GCSE,A
1,3,2008048,English Literature,GCSE,A
1,3,2008049,English Literature,GCSE,A
1,3,2008050,English Literature,GCSE,A
1,3,2008072,English Literature,GCSE,A
1,3,2008094,English Literature,GCSE,A
1,3,2008101,English Literature,GCSE,A
1,3,2008105,English Literature,GCSE,A
1,3,2008110,English Literature,GCSE,A
1,3,2008114,English Literature,GCSE,A
1,3,2008115,English Literature,GCSE,A
1,3,2008119,English Literature,GCSE,A
1,3,2008124,English Literature,GCSE,A
1,3,2008136,English Literature,GCSE,A
1,3,2008139,English Literature,GCSE,A
1,3,2008140,English Literature,GCSE,A
1,3,2008144,English Literature,GCSE,A
1,3,2008145,English Literature,GCSE,A
1,3,2008146,English Literature,GCSE,A
1,3,2008151,English Literature,GCSE,A
1,3,2008157,English Literature,GCSE,A
1,3,2008163,English Literature,GCSE,A
1,3,2008168,English Literature,GCSE,A
1,3,2008177,English Literature,GCSE,A
1,3,2008178,English Literature,GCSE,A
1,3,2008180,English Literature,GCSE,A
1,3,2008185,English Literature,GCSE,A
1,3,2008189,English Literature,GCSE,A
1,3,2008195,English Literature,GCSE,A
1,3,2008200,English Literature,GCSE,A
1,3,2008201,English Literature,GCSE,A
1,3,2008220,English Literature,GCSE,A
1,3,2008227,English Literature,GCSE,A
1,3,3709,English Literature,GCSE,A
1,3,2008055,English Literature,GCSE,A*
1,3,2008058,English Literature,GCSE,A*
1,3,2008001,English Literature,GCSE,B
1,3,2008004,English Literature,GCSE,B
1,3,2008008,English Literature,GCSE,B
1,3,2008010,English Literature,GCSE,B
1,3,2008012,English Literature,GCSE,B
1,3,2008014,English Literature,GCSE,B
1,3,2008017,English Literature,GCSE,B
1,3,2008022,English Literature,GCSE,B
1,3,2008026,English Literature,GCSE,B
1,3,2008027,English Literature,GCSE,B
1,3,2008032,English Literature,GCSE,B
