2008030,Religious Studies,b10RS-XD
2008031,Business Studies,b10BST
2008031,Core Science,b10CSC-H
2008031,English,b10ENG-YI
2008031,English Literature,b10ENG-YI
2008031,Geography,b10GEOG-1
2008031,Maths,b10MA-YPYT
2008031,Media Studies,b10MS-3
2008031,Religious Studies,b10RS-YI
2008031,Technology Product Design,b10PD-Y1
2008032,BTEC Science,b10BSC-D
2008032,English,b10ENG-XD
2008032,English Literature,b10ENG-XD
2008032,Geography,b10GEOG-3
2008032,Hospitality and Catering,b10HC-X1
2008032,Maths,b10MA-XMAN
2008032,Religious Studies,b10RS-XD
2008032,Salon Services,b10SS
2008032,Travel and Tourism,b10TT
2008033,Basic Construction Skills,b10CONS
2008033,BTEC Science,b10BSC-E
2008033,Business Studies,b10BST
2008033,English,b10ENG-XA
2008033,English Literature,b10ENG-XA
2008033,Maths,b10MA-XEUL
2008033,Religious Studies,b10RS-XA
2008033,Sports Studies,b10SPO-3
2008033,Technology Product Design,b10PD-X1
2008034,Art,b10ART-2
2008034,Biology,b10TSC-B
2008034,Chemistry,b10TSC-B
2008034,English,b10ENG-XD
2008034,English Literature,b10ENG-XD
2008034,French,b10FRE-1
2008034,History,b10HIST-3
2008034,Maths,b10MA-XGAU
2008034,Physics,b10TSC-B
2008034,Religious Studies,b10RS-XD
2008034,Technology Product Design,b10PD-X1
2008035,Biology,b10TSC-F
2008035,Chemistry,b10TSC-F
2008035,English,b10ENG-YG
2008035,English Literature,b10ENG-YG
2008035,FMA Performing Engineering Operations,b10FMA
2008035,History,b10HIST-1a
2008035,Maths,b10MA-YGAU
2008035,Physics,b10TSC-F
2008035,Religious Studies,b10RS-YG
2008035,Sports Studies,b10SPO-2
2008037,Art,b10ART-1
2008037,Biology,b10TSC-G
2008037,Chemistry,b10TSC-G
2008037,English,b10ENG-YG
2008037,English Literature,b10ENG-YG
2008037,FMA Performing Engineering Operations,b10FMA
2008037,Maths,b10MA-YEUL
2008037,Physics,b10TSC-G
2008037,Religious Studies,b10RS-YG
2008037,Sports Studies,b10SPO-2
2008039,Core Science,b10CSC-I
2008039,English,b10ENG-YI
2008039,English Literature,b10ENG-YI
2008039,Information Communication Technology,b10ICT-3
2008039,Maths,b10MA-YPYT
2008039,Media Studies,b10MS-1
2008039,Religious Studies,b10RS-YI
2008039,Technology Product Design,b10PD-Y1
2008039,Travel and Tourism,b10TT
2008040,Core Science,b10CSC-C
2008040,English,b10ENG-XB
2008040,English Literature,b10ENG-XB
2008040,Hospitality and Catering,b10HC-X1
2008040,Information Communication Technology,b10ICT-2
2008040,Maths,b10MA-XMAN
2008040,Media Studies,b10MS-1
2008040,Religious Studies,b10RS-XB
2008040,Sports Studies,b10SPO-3
2008041,Basic Construction Skills,b10CONS
2008041,BTEC Science,b10BSC-D
2008041,English,b10ENG-XC
2008041,English Literature,b10ENG-XC
2008041,Maths,b10MA-XPYT
2008041,Religious Studies,b10RS-XC
2008041,Sports Studies,b10SPO-3
2008041,Technology Product Design,b10PD-X1
2008041,Travel and Tourism,b10TT
2008043,Biology,b10TSC-B
2008043,Chemistry,b10TSC-B
2008043,English,b10ENG-YJ
